title, imagePath
"Бойцовский клуб","/images/FightClub.png"
"Бегущий по лезвию 2049","/images/BladeRunner2049.jpg"
"Джентльмены","/images/Gentlemen.jpg"
"Начало","/images/Inception.jpg"
"Интерстеллар","/images/Interstellar.jpg"
"Карты, деньги, два ствола","/images/LockStockAndTwo....jpg"
"Пираты Карибского моря: Сундук мертвеца","/images/Pirates.jpg"
"Большой куш","/images/Snatch.jpg"
"Темный рыцарь","/images/TheDarkKnight.jpg"
"Громовержцы","/images/Thunderbolts.jpg"
"Марти Великолепный","/images/MartySupreme.jpg"
"Грешники","/images/Sinners.jpg"
"Дурные деньги","/images/DumbMoney.jpg"
"Достать ножи","/images/KnivesOut.jpg"
"Семь","/images/Seven.jpg"
"Остров проклятых","/images/ShutterIsland.jpg"
"Битва за битвой","/images/OneBattleAfterAnother.jpg"
"Боец","/images/TheFighter.jpg"
"Властелин колец: Братство Кольца","/images/TheLordOfTheRings1.jpg"
"Мастер","/images/TheMaster.jpg"
"Шестое чувство","/images/TheSixthSense.jpg"
"SuperПерцы","/images/Superbad.jpg"
